slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۸,۱۳۹۸,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۰۵۹٬۰۰۰ تومان,۲,۱,1,1,1,1,,,gYB6QawH
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۵۲,۱۳۹۵,۶٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۴۰۸٬۰۰۰ تومان,۵,۳,1,1,1,1,,,gYBuAUUD
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۷۴,۱۳۸۸,۳٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۳۲۴٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYBqgNU1
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۱۵,۱۴۰۰,۷٬۱۹۰٬۰۰۰٬۰۰۰ تومان,۶۲٬۵۲۲٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gYlF3rFJ
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۶,۱۳۸۵,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۸۸۴٬۰۰۰ تومان,۴ از ۷,۲,,1,1,1,35.766697,51.30079,gYBmArzT
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۰,۱۳۷۶,۲٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۱۶۷٬۰۰۰ تومان,۲ از ۴,۱,,1,1,1,,,gYBqQBtv
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۸,۱۴۰۰,۵٬۰۹۶٬۰۰۰٬۰۰۰ تومان,۵۲٬۰۰۰٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYa17jze
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۲,۱۳۸۰,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۲۶۸٬۰۰۰ تومان,۴ از ۴,۲,,,1,1,35.766563,51.300316,gY_1cX5R
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۷,۱۳۸۴,۳٬۰۹۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۱۱۹٬۰۰۰ تومان,۱,۲,,1,1,1,,,gYA-fxs4
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۸,۱۳۸۳,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۱۱۸٬۰۰۰ تومان,۲ از ۸,۲,,1,1,1,,,gYA-Pjqt
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۸,۱۳۹۷,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۹۵۹٬۰۰۰ تومان,۳ از ۵,۲,1,1,1,1,,,gYA6fidS
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۰,۱۴۰۰,۵٬۷۳۰٬۰۰۰٬۰۰۰ تومان,۵۷٬۳۰۰٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gYA2_YT8
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۵,۱۳۹۴,۳٬۳۳۰٬۰۰۰٬۰۰۰ تومان,۵۱٬۲۳۱٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,,,gYzBHPYC
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۳,۱۳۸۵,۳٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۳۷۹٬۰۰۰ تومان,۱,۳,,1,1,1,,,gY-hgj3v
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۵,۱۳۹۴,۴٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۴۲۱٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYgFA6-w
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۸,۱۴۰۰,۵٬۵۳۰٬۰۰۰٬۰۰۰ تومان,۵۶٬۴۲۹٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY_lmhDe
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۳۳,۱۴۰۰,توافقی,,۵ از ۵,۳,1,1,1,1,,,gYwZIbWk
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۲,۱۴۰۰,۵٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۵۱۰٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYqhU2JX
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۱۵,۱۳۸۲,توافقی,,۳ از ۴,۲,,1,1,1,,,gYtNQC9V
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۸,۱۳۹۹,۵٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۶۷۳٬۰۰۰ تومان,۴ از ۶,۲,1,1,1,1,35.76907,51.308136,gYACvTNA
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۴,۱۳۹۴,۴٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۴۶۸٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYfdcc0A
apartment-sell,آپارتمان,تهران,پونک,tehran,۶۸,۱۳۸۱,۳٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۳۲۴٬۰۰۰ تومان,۱,۲,,1,1,1,,,gYplir6L
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۶,۱۳۹۴,۴٬۲۷۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۶۵۱٬۰۰۰ تومان,۳ از ۵,۲,1,1,1,1,,,gY_BYuUS
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۶,۱۳۹۱,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۵۱۲٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYA-at_T
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۳,۱۳۸۰,۲٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۰۳۲٬۰۰۰ تومان,۱,۱,,1,1,1,,,gYAOcYjw
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۴,۱۳۹۳,توافقی,,۳,۲,1,1,1,1,,,gYAW8y-g
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۲۶,۱۳۸۱,۴٬۸۸۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۷۳۰٬۰۰۰ تومان,۱,۳,,1,1,1,,,gY79qt9U
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۷,۱۳۸۴,۳٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۵۶۷٬۰۰۰ تومان,۴,۲,,1,1,1,,,gYAm-xcq
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۸,۱۴۰۰,۵٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۱۰۲٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,35.776245,51.305164,gYAmOVvP
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۴۰۰,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۲۲۲٬۰۰۰ تومان,۱ از ۶,۲,1,1,1,1,,,gYAeuoxU
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۵۳,۱۳۸۲,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۶۲۳٬۰۰۰ تومان,۱,۱,,1,1,1,,,gYAae0Oo
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۶,۱۳۸۲,۳٬۰۳۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۹۰۹٬۰۰۰ تومان,۱,۲,,1,1,1,,,gYAausCH
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۳۸۵,۳٬۶۹۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۴۱۲٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gYlViDMy
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۵,۱۴۰۰,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۷۱۴٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYA-dXC8
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۵۵,۱۳۹۹,۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۲۷۳٬۰۰۰ تومان,۴ از ۵,۱,1,1,1,1,,,gYA6NjFO
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۷,۱۳۹۹,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۴۲۵٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gY0VAz5a
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۴,۱۳۹۴,۴٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۴۰۴٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYAq9RhI
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۱,۱۳۹۹,۴٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۵۱۵٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY7NqFfP
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۵,۱۳۹۵,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۸۴۶٬۰۰۰ تومان,۵,۲,1,1,1,1,,,gY3xlJLn
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۳۰,۱۴۰۰,۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۶۳٬۰۷۷٬۰۰۰ تومان,۲ از ۵,۳,1,1,1,1,,,gYAW9VCX
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۱,۱۳۹۵,توافقی,,۳,۲,1,1,1,1,,,gY9pwUv_
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۹۰,۱۳۹۸,۱۰٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,۴,۳,1,1,1,1,,,gYAO9H7T
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۰,۱۳۹۸,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gYu1HAiJ
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۴۹,۱۴۰۰,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۳۳۶٬۰۰۰ تومان,۵,۳,1,1,1,1,,,gYAGNqan
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۲۰,۱۴۰۰,۶٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,۴ از ۵,۲,1,1,1,1,,,gYtdh0fe
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۱۵,۱۳۹۸,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۱۷۴٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYnMARX3
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۳۲,۱۴۰۰,۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۵۱٬۵۱۵٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gYnNaWup
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۲۵,۱۳۹۶,توافقی,,۳,۳,1,1,1,1,,,gYntONE0
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۷۸,۱۳۸۳,۳٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۲۳۱٬۰۰۰ تومان,۱ از ۴,۲,,1,1,1,,,gY5BAH_m
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۳۹۶,توافقی,,۲,۲,1,1,1,1,,,gYAyblcM
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۳۹۶,۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۷۰۶٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYlZFGKE
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۰,۱۳۹۶,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۰۰۰٬۰۰۰ تومان,۳ از ۵,۲,1,1,1,1,,,gYAm7Ddj
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۵,۱۳۸۱,۲٬۷۷۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۶۱۵٬۰۰۰ تومان,۲,۲,,1,1,1,,,gYqlVB61
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۲,۱۳۹۵,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۷۸۰٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY7RuyHq
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۲۰,۱۳۹۴,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۵,۲,1,1,1,1,,,gY_l85tM
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۳۹۴,۴٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۶۴۷٬۰۰۰ تومان,۳ از ۵,۲,1,1,1,1,,,gYAib-5y
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۴۰۰,توافقی,,۳,۲,1,1,1,1,35.766786775275,51.307740211487,gYoFd9vo
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۳,۱۳۸۴,۲٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۸۸۹٬۰۰۰ تومان,۱ از ۴,۲,,,,1,,,gYqBn_Q0
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۰,۱۳۹۶,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gYAC7HpR
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۷۵,۱۳۹۷,۳٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۰۰۰٬۰۰۰ تومان,۲ از ۵,۱,1,1,1,1,,,gYAyaS9j
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۳۸۵,۳٬۵۲۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۱۱۱٬۰۰۰ تومان,۱ از ۴,۲,,1,1,1,,,gY7FqcZd
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۶,۱۳۸۸,۳٬۵۹۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۷۴۴٬۰۰۰ تومان,۱,۲,,1,1,1,,,gY6JkZmd
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۳۸۶,۳٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۶۶۷٬۰۰۰ تومان,۲,۲,,1,1,1,,,gYAOa-zA
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۰,۱۳۸۰,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,۴,۲,,1,1,1,,,gY-ZygWC
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۷۵,۱۳۹۳,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۷۱۴٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,,,gYAGqBGK
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۳۵,۱۴۰۰,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵۶٬۲۹۶٬۰۰۰ تومان,۴ از ۴,۳,1,1,1,1,,,gYA658uv
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۴۰۰,توافقی,,۳,۲,1,1,1,1,35.766606922889,51.302633285522,gYAGKJ1F
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۷۶,۱۳۹۶,۳٬۵۲۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۳۱۶٬۰۰۰ تومان,۳ از ۵,۱,1,1,1,1,,,gYA2J4Cd
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۵,۱۴۰۰,۶٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۵,۲,1,1,1,1,,,gY-pxA79
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۲,۱۳۹۲,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۱٬۶۱۳٬۰۰۰ تومان,۳,۲,1,1,1,1,35.7678,51.308807,gY8dbsV1
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۵۹,۱۳۹۴,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۴۵۸٬۰۰۰ تومان,۲ از ۵,۱,1,1,1,1,,,gY95fSxJ
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۲۰,۱۳۹۹,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۳۳۳٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYu9lQmm
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۶,۱۳۹۵,۴٬۱۹۹٬۰۰۰٬۰۰۰ تومان,۳۹٬۶۱۳٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYuxGrSv
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۷۳,۱۳۹۹,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۶۸۵٬۰۰۰ تومان,۵,۲,1,1,1,1,,,gY2VSGLd
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۵,۱۴۰۰,۵٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۲۸۶٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gYAup9uR
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۳۸۴,۳٬۷۶۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۲۳۵٬۰۰۰ تومان,۶,۲,1,1,1,1,,,gY8JrbBY
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۴۰۰,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۳۳۳٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY6hQPdJ
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۱۶,۱۳۸۲,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۳۷۹٬۰۰۰ تومان,۲ از ۴,۲,,1,1,1,,,gYAeZWD6
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۳,۱۳۹۸,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۵۱۵٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gYAaZedN
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۷۸,۱۳۸۲,۳٬۴۲۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۸۴۶٬۰۰۰ تومان,۲ از ۴,۲,,1,1,1,,,gY01Fgh5
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۲,۱۳۸۸,۳٬۲۳۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۱۰۹٬۰۰۰ تومان,همکف از ۵,۲,,,1,1,,,gY7pGiyN
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۶۳,۱۳۸۳,۲٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۰۳۲٬۰۰۰ تومان,۲,۱,,1,1,1,,,gYAOpMhn
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۰۰,۱۳۹۹,۴٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۵۰۰٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYo5tWYq
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۸,۱۳۹۷,توافقی,,۳,۲,1,1,1,1,,,gYqZ4jRP
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۳۹۶,توافقی,,۲,۲,1,1,1,1,,,gYz9Js1a
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۹۰,۱۴۰۰,۴٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY_Fl_jq
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۸۵,۱۴۰۰,۴٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۸۸۲٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY2hGnZL
apartment-sell,آپارتمان,تهران,جنت‌آباد شمالی,tehran,۱۲۸,۱۳۷۵,۴٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۰۳۱٬۰۰۰ تومان,۳,۳,,1,1,1,,,gYyxaxbQ
