slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۱۲۳,۱۴۰۰,توافقی,,۱۱,۳,1,1,1,1,,,gYB6QXfD
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۱۶۲,۱۳۹۶,توافقی,,۳ از ۵,۳,1,1,1,1,,,gY2BRHvW
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۸۶,۱۴۰۰,توافقی,,۳,۲,1,1,,1,,,gY3tHEug
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۱۳۴,۱۳۹۹,۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۴۷۸٬۰۰۰ تومان,۲,۳,1,1,1,1,,,gY_1c6QT
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۱۹۵,۱۳۹۹,۱۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۶۴٬۱۰۳٬۰۰۰ تومان,۳ از ۵,۳,1,1,1,1,,,gY4F7pDj
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۲۳۱,۱۳۹۶,۱۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۸۱۴٬۰۰۰ تومان,۵,۳,1,1,1,1,,,gYuRD2f_
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۸۹,۱۳۹۵,۴٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵۱٬۶۸۵٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYB2wOkQ
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۹۰,۱۳۹۱,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۲۲۲٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gYByggxv
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۱۵۰,۱۳۹۸,۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۶۶۷٬۰۰۰ تومان,۱,۳,1,1,1,1,,,gY7BruNu
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۱۵۳,۱۳۹۳,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۲۸۸٬۰۰۰ تومان,۵,۳,1,1,1,1,,,gY6pxScM
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۸۷,۱۳۹۵,۴٬۳۶۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۱۱۵٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYBuQBsf
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۶۵,۱۳۸۳,۲٬۵۳۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۹۲۳٬۰۰۰ تومان,۱ از ۴,۲,,1,1,1,35.749905,51.30102,gYBuAVD5
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۸۸,۱۳۹۵,۴٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۸۴۱٬۰۰۰ تومان,۵ از ۶,۲,1,1,1,1,,,gY7BXr7O
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۷۵,۱۴۰۰,۴٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۶۲٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,,,gYpx2OpK
apartment-sell,آپارتمان,تهران,جنت‌آباد جنوبی,tehran,۶۴,۱۳۸۰,۲٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۵۳۱٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYtdzMQe
