slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۸۵,۱۳۸۵,۳٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۰۵۹٬۰۰۰ تومان,۶,۲,1,1,1,1,35.76169691053,51.203927993774,gYBaRMVp
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۷۶,۱۳۸۶,۲٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۲۸۹٬۰۰۰ تومان,۴ از ۴,۲,,,1,1,35.761955,51.201447,gYBiQbka
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۱۲۱,۱۴۰۰,۱٬۳۶۷٬۰۰۰٬۰۰۰ تومان,۱۱٬۲۹۸٬۰۰۰ تومان,۷,۳,1,1,1,1,,,gYltxqH5
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۱۳۶,۱۳۹۹,۵٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۶۰۳٬۰۰۰ تومان,۱۲,۲,1,1,1,1,,,gYACfMDY
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۹۰,۱۳۸۶,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۱۱۱٬۰۰۰ تومان,۴ از ۶,۲,1,,1,1,,,gY7prebE
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۱۰۵,۱۳۹۱,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۳۸۱٬۰۰۰ تومان,۲ از ۱۱,۲,1,1,1,1,,,gYAaehox
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۸۳,۱۳۸۶,۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۳۲۵٬۰۰۰ تومان,۱,۲,,1,1,1,,,gYAKsPlF
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۶۹,۱۳۸۸,۲٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۰۵۸٬۰۰۰ تومان,۴,۱,1,,1,1,35.7628,51.203983,gY9NgIYR
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۹۰,۱۳۸۶,۲٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۵۵۶٬۰۰۰ تومان,۴ از ۶,۲,1,,1,1,,,gY3N35wc
apartment-sell,آپارتمان,تهران,شهرک شهید باقری,tehran,۹۰,۱۳۹۶,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۱۱۱٬۰۰۰ تومان,۴ از ۶,۲,1,,1,1,,,gY-tSKIs
